id,title,description,created_at,edited_at,user_id
268,Article 99,"Displaced unsp fx unsp lesser toe(s), init for opn fx",6/17/2021,4/17/2021,93
269,Frownland,"Subluxation of MTP joint of unsp great toe, init",2/26/2021,1/13/2021,71
270,Project Nim,"Unsp car occupant injured in clsn w ped/anml nontraf, init",3/1/2021,1/21/2021,22
271,The Chase,"Car passenger injured in clsn w pick-up truck in traf, init",12/25/2020,8/1/2021,21
272,"Glass House, The","Partial traumatic amputation at unsp shoulder joint, init",12/7/2020,2/20/2021,11
273,Hitman's Run,Cellulitis of trunk,5/27/2021,11/27/2020,63
274,Dear God,"Corrosion of third degree of right lower leg, sequela",7/26/2021,11/19/2020,83
275,Amorosa,"Laceration with foreign body of left buttock, sequela",12/15/2020,11/24/2020,93
276,Flakes,"Partial traumatic amputation at unsp shoulder joint, init",4/24/2021,8/5/2021,53
277,Jerusalem,"Oth fx upper end of unsp tibia, subs for clos fx w nonunion",1/19/2021,11/22/2020,73
278,Argo,"Puncture wound without foreign body of unsp hand, sequela",4/30/2021,3/5/2021,63
279,Century,"Unsp fx upr end r tibia, subs for opn fx type I/2 w nonunion",12/28/2020,12/15/2020,02
280,My Voyage to Italy (Il mio viaggio in Italia),"Open bite of unsp great toe without damage to nail, sequela",8/26/2021,1/13/2021,02
281,Miss Annie Rooney,Jump/div into oth water striking bottom causing oth injury,4/22/2021,2/2/2021,03
282,Riviera,"Strain of extensor musc/fasc/tend thmb at wrs/hnd lv, init",2/13/2021,6/9/2021,43
283,Air Force One,Toxoplasma tubulo-interstitial nephropathy,1/2/2021,10/26/2020,22
284,"Gaucho, The","Nondisp fx of greater tuberosity of unsp humer, 7thP",7/10/2021,6/27/2021,22
285,Lili's Apron,"Strain intrns musc/fasc/tend r rng fngr at wrs/hnd lv, subs",8/12/2021,9/18/2020,83
286,2 + 2 (Dos más dos),"Other otosclerosis, bilateral",11/11/2020,8/9/2021,63
287,Get Over It,"Hordeolum externum unspecified eye, unspecified eyelid",7/5/2021,2/15/2021,42
288,Miffo,Other sequelae of unspecified cerebrovascular disease,9/13/2020,7/21/2021,73
289,"Bon Cop, Bad Cop",Family history of malignant neoplasm of prostate,9/8/2020,9/9/2020,12
290,Stanley & Iris,Other diseases of hard tissues of teeth,10/22/2020,6/14/2021,23
291,Justice League: The New Frontier ,Moderate laceration of unspecified part of pancreas,3/8/2021,11/13/2020,82
292,What's the Matter with Helen?,Single-family non-institutional (private) house as place,2/22/2021,2/3/2021,61
293,Anna,"Sltr-haris Type II physeal fx upper end of left tibia, init",7/24/2021,9/25/2020,42
294,"Brady Bunch Movie, The","Other specified transport accidents, initial encounter",1/25/2021,12/15/2020,52
295,Commune,"Maternal care for abnormality of vagina, unsp trimester",5/17/2021,12/23/2020,13
296,"Davy Crockett, King of the Wild Frontier","Nondisplaced fracture of trapezium, left wrist",3/12/2021,3/2/2021,71
297,Virginia City,"Oth non-follic lymphoma, nodes of ing region and lower limb",11/20/2020,7/4/2021,41
298,"Substitute, The","Drown due to passenger ship overturning, sequela",4/3/2021,4/21/2021,42
299,Eden Is West (Eden à l'Ouest),"Disp fx of base of nk of l femr, init for opn fx type 3A/B/C",11/26/2020,10/6/2020,03
300,Rudolph the Red-Nosed Reindeer: The Movie,"Toxic effect of phosphorus and its compounds, undetermined",4/25/2021,5/14/2021,91
